time,co,no2,o3,so2,pm2_5,pm10
2020-11-28 00:00:00,514.03,10.63,20.92,3.87,30.8,33.08
2020-11-28 01:00:00,527.38,9.68,23.96,4.35,32.75,35.02
2020-11-28 02:00:00,534.06,8.4,32.54,4.71,34.83,37.1
2020-11-28 03:00:00,527.38,7.97,44.7,5.13,37.98,40.22
2020-11-28 04:00:00,507.36,6.26,59.37,5.19,39.68,41.75
2020-11-28 05:00:00,480.65,4.33,73.67,5.01,40.78,42.56
2020-11-28 06:00:00,460.63,3.0,85.83,5.01,44.34,46.05
2020-11-28 07:00:00,440.6,2.23,92.98,4.77,47.74,49.39
2020-11-28 08:00:00,427.25,2.04,94.41,4.53,48.44,50.02
2020-11-28 09:00:00,427.25,2.44,91.55,4.53,47.92,49.46
2020-11-28 10:00:00,440.6,3.17,86.55,4.59,46.96,48.48
2020-11-28 11:00:00,460.63,3.51,80.82,4.77,45.09,46.64
2020-11-28 12:00:00,480.65,4.07,70.1,5.07,41.13,42.73
2020-11-28 13:00:00,487.33,5.01,57.94,5.19,37.52,39.14
2020-11-28 14:00:00,487.33,5.57,50.07,5.25,36.16,37.78
2020-11-28 15:00:00,487.33,6.0,45.06,5.36,36.65,38.3
2020-11-28 16:00:00,494.0,6.6,40.41,5.6,37.67,39.36
2020-11-28 17:00:00,500.68,7.2,37.19,5.72,36.9,38.53
2020-11-28 18:00:00,500.68,7.63,35.41,5.78,34.83,36.41
2020-11-28 19:00:00,514.03,8.23,33.98,6.02,33.62,35.19
2020-11-28 20:00:00,527.38,9.08,32.19,6.38,34.65,36.26
2020-11-28 21:00:00,547.41,9.77,31.11,6.68,37.55,39.21
2020-11-28 22:00:00,560.76,10.11,30.76,6.8,40.79,42.52
2020-11-28 23:00:00,567.44,10.37,30.04,6.86,43.79,45.61
2020-11-29 00:00:00,580.79,11.14,29.68,7.03,46.71,48.67
2020-11-29 01:00:00,594.14,11.82,30.4,7.51,49.67,51.78
2020-11-29 02:00:00,600.82,11.48,33.98,8.11,52.4,54.66
2020-11-29 03:00:00,600.82,10.63,41.13,8.46,55.71,58.0
2020-11-29 04:00:00,587.46,8.23,55.79,8.23,57.99,60.13
2020-11-29 05:00:00,560.76,5.91,74.39,7.87,62.42,64.44
2020-11-29 06:00:00,540.73,3.98,92.98,7.51,69.52,71.51
2020-11-29 07:00:00,514.03,2.68,105.86,6.91,74.34,76.33
2020-11-29 08:00:00,500.68,2.36,110.15,6.26,74.99,76.92
2020-11-29 09:00:00,480.65,2.44,111.58,5.54,71.55,73.43
2020-11-29 10:00:00,467.3,2.83,108.72,4.95,67.15,69.01
2020-11-29 11:00:00,460.63,3.21,103.0,4.59,64.33,66.27
2020-11-29 12:00:00,460.63,3.47,100.14,4.47,62.78,64.8
2020-11-29 13:00:00,473.98,3.3,103.0,4.71,65.66,67.74
2020-11-29 14:00:00,480.65,2.96,105.86,5.13,71.92,74.18
2020-11-29 15:00:00,494.0,2.87,107.29,5.54,78.46,80.93
2020-11-29 16:00:00,507.36,2.83,108.72,5.78,84.29,86.88
2020-11-29 17:00:00,514.03,2.5700000000000003,110.15,5.54,90.4,93.12
2020-11-29 18:00:00,520.71,2.4,111.58,5.25,95.47,98.34
2020-11-29 19:00:00,514.03,2.27,108.72,4.83,93.55,96.36
2020-11-29 20:00:00,500.68,2.23,104.43,4.71,83.55,86.08
2020-11-29 21:00:00,500.68,2.29,98.71,4.83,73.76,76.05
2020-11-29 22:00:00,507.36,2.66,92.98,5.19,70.17,72.51
2020-11-29 23:00:00,520.71,3.34,84.4,5.78,70.22,72.84
2020-11-30 00:00:00,527.38,4.2,77.96,6.44,68.16,70.99
2020-11-30 01:00:00,527.38,4.97,72.96,7.03,64.08,67.1
2020-11-30 02:00:00,520.71,4.37,72.24,7.45,62.19,65.42
2020-11-30 03:00:00,507.36,3.43,78.68,7.75,63.93,67.37
2020-11-30 04:00:00,494.0,2.27,90.12,7.63,67.25,70.63
2020-11-30 05:00:00,487.33,1.65,101.57,7.63,69.01,72.27
2020-11-30 06:00:00,473.98,1.5,108.72,7.63,70.51,73.71
2020-11-30 07:00:00,473.98,1.54,113.01,7.33,72.2,75.4
2020-11-30 08:00:00,473.98,1.9500000000000002,114.44,7.33,73.7,76.86
2020-11-30 09:00:00,473.98,2.68,113.01,7.33,73.43,76.62
2020-11-30 10:00:00,473.98,3.77,107.29,7.21,73.39,76.67
2020-11-30 11:00:00,467.3,4.46,103.0,7.15,73.98,77.52
2020-11-30 12:00:00,467.3,4.8,100.14,7.39,75.47,79.33
2020-11-30 13:00:00,460.63,4.88,98.71,7.87,78.72,83.0
2020-11-30 14:00:00,460.63,4.67,97.28,7.99,82.9,87.53
2020-11-30 15:00:00,460.63,4.5,94.41,7.75,84.52,89.38
2020-11-30 16:00:00,453.95,4.46,91.55,7.27,84.36,89.28
2020-11-30 17:00:00,453.95,4.28,87.98,6.68,84.41,89.27
2020-11-30 18:00:00,453.95,4.24,82.25,7.09,86.25,91.28
2020-11-30 19:00:00,460.63,4.41,77.96,8.46,89.1,94.59
2020-11-30 20:00:00,473.98,4.88,74.39,9.78,92.87,98.82
2020-11-30 21:00:00,487.33,5.4,70.81,10.25,95.76,102.17
2020-11-30 22:00:00,500.68,5.91,67.23,10.25,97.88,104.75
2020-11-30 23:00:00,507.36,6.6,63.66,10.13,98.09,105.25
2020-12-01 00:00:00,507.36,7.71,61.51,10.01,97.83,105.16
2020-12-01 01:00:00,514.03,9.08,59.37,10.25,95.59,102.86
2020-12-01 02:00:00,507.36,8.4,60.08,10.01,90.97,98.13
2020-12-01 03:00:00,494.0,6.68,64.37,9.54,87.29,94.16
2020-12-01 04:00:00,473.98,4.71,77.96,8.7,80.15,86.07
2020-12-01 05:00:00,460.63,3.21,92.98,8.11,75.48,80.65
2020-12-01 06:00:00,453.95,2.38,103.0,7.75,74.78,79.59
2020-12-01 07:00:00,447.27,2.06,108.72,7.09,73.12,77.57
2020-12-01 08:00:00,440.6,2.34,110.15,6.91,71.83,76.05
