time,co,no2,o3,so2,pm2_5,pm10,aqi
2020-11-28 00:00:00,574.11,4.88,98.71,9.78,74.42,96.75,5
2020-11-28 01:00:00,560.76,3.34,104.43,9.3,73.33,95.85,5
2020-11-28 02:00:00,534.06,2.64,105.86,9.06,69.25,90.21,5
2020-11-28 03:00:00,520.71,2.4,101.57,9.54,65.85,85.18,5
2020-11-28 04:00:00,527.38,2.38,95.84,10.73,65.12,82.4,5
2020-11-28 05:00:00,540.73,2.55,87.26,13.35,66.34,81.83,5
2020-11-28 06:00:00,567.44,2.74,82.25,15.74,70.27,84.85,5
2020-11-28 07:00:00,607.49,3.21,81.54,16.93,71.9,86.17,5
2020-11-28 08:00:00,660.9,4.24,75.82,18.36,75.21,92.6,5
2020-11-28 09:00:00,720.98,6.08,62.94,20.27,78.8,98.88,5
2020-11-28 10:00:00,774.38,11.65,47.21,22.17,82.32,103.42,5
2020-11-28 11:00:00,821.11,23.31,39.34,22.89,83.69,103.42,5
2020-11-28 12:00:00,847.82,32.56,43.99,22.65,82.31,100.06,5
2020-11-28 13:00:00,854.49,34.27,50.78,21.22,82.38,99.28,5
2020-11-28 14:00:00,854.49,35.99,50.07,19.55,77.66,90.92,5
2020-11-28 15:00:00,827.79,36.33,47.21,16.45,71.85,83.16,5
2020-11-28 16:00:00,794.41,35.99,43.99,13.47,64.07,74.17,5
2020-11-28 17:00:00,754.36,34.62,41.13,10.73,54.87,65.24,5
2020-11-28 18:00:00,720.98,32.9,36.12,9.06,45.39,55.97,4
2020-11-28 19:00:00,687.6,30.5,31.11,8.35,41.17,52.67,4
2020-11-28 20:00:00,674.25,28.45,28.97,8.11,42.38,54.55,4
2020-11-28 21:00:00,660.9,25.36,31.47,8.35,46.93,59.33,4
2020-11-28 22:00:00,647.54,19.36,38.27,8.7,51.57,63.64,5
2020-11-28 23:00:00,634.19,14.4,44.7,8.94,54.82,66.0,5
2020-11-29 00:00:00,614.17,10.54,50.07,8.94,55.51,64.84,5
2020-11-29 01:00:00,594.14,8.23,53.64,8.94,55.73,63.97,5
2020-11-29 02:00:00,594.14,7.45,53.64,9.54,56.47,64.34,5
2020-11-29 03:00:00,600.82,7.8,50.07,10.49,58.14,67.67,5
2020-11-29 04:00:00,600.82,8.05,47.21,11.44,57.61,69.12,5
2020-11-29 05:00:00,594.14,7.28,47.92,11.8,55.54,68.64,5
