city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Ho Chi Minh City,Ho Chi Minh City,10.7756,106.7019,Vietnam,VN,VNM,Hồ Chí Minh,admin,15136000.0,1704774326
Hanoi,Hanoi,21.0,105.85,Vietnam,VN,VNM,Hà Nội,primary,8246600.0,1704413791
Haiphong,Haiphong,20.8651,106.6838,Vietnam,VN,VNM,Hải Phòng,admin,2103500.0,1704000623
Cần Thơ,Can Tho,10.0333,105.7833,Vietnam,VN,VNM,Cần Thơ,admin,1237300.0,1704783472
Biên Hòa,Bien Hoa,10.95,106.8167,Vietnam,VN,VNM,Đồng Nai,admin,1104000.0,1704863046
Huế,Hue,16.4667,107.5792,Vietnam,VN,VNM,Thừa Thiên-Huế,admin,652572.0,1704016023
Bắc Ninh,Bac Ninh,21.1833,106.05,Vietnam,VN,VNM,Bắc Ninh,admin,520000.0,1704025181
Hải Dương,Hai Duong,20.9397,106.3306,Vietnam,VN,VNM,Hải Dương,admin,507469.0,1704909566
Vinh,Vinh,18.6667,105.6667,Vietnam,VN,VNM,Nghệ An,admin,490000.0,1704960059
Đà Lạt,Da Lat,11.9417,108.4383,Vietnam,VN,VNM,Lâm Đồng,admin,406105.0,1704933464
Thanh Hóa,Thanh Hoa,19.8075,105.7764,Vietnam,VN,VNM,Thanh Hóa,admin,393294.0,1704016079
Nha Trang,Nha Trang,12.245,109.1917,Vietnam,VN,VNM,Khánh Hòa,admin,392279.0,1704497901
Nam Định,Nam Dinh,20.42,106.1683,Vietnam,VN,VNM,Nam Định,admin,352108.0,1704906277
Vũng Tàu,Vung Tau,10.3833,107.1167,Vietnam,VN,VNM,Bà Rịa-Vũng Tàu,admin,341552.0,1704581438
Buôn Ma Thuột,Buon Ma Thuot,12.6667,108.05,Vietnam,VN,VNM,Đắk Lắk,admin,340000.0,1704542086
Thái Nguyên,Thai Nguyen,21.6,105.85,Vietnam,VN,VNM,Thái Nguyên,admin,330000.0,1704613715
Thủ Dầu Một,Thu Dau Mot,10.9667,106.65,Vietnam,VN,VNM,Bình Dương,admin,321607.0,1704890399
Cà Mau,Ca Mau,9.1833,105.15,Vietnam,VN,VNM,Cà Mau,admin,315270.0,1704320474
Quy Nhơn,Quy Nhon,13.7667,109.2333,Vietnam,VN,VNM,Bình Định,admin,311000.0,1704056461
