time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m
2024-12-07T00:00,18.5,89,16.6,0.0,854.4,100,6.6,45
2024-12-07T01:00,18.4,90,16.8,0.0,854.2,100,7.1,49
2024-12-07T02:00,18.4,90,16.7,0.0,853.7,100,7.4,51
2024-12-07T03:00,18.3,89,16.4,0.0,853.5,100,6.9,43
2024-12-07T04:00,18.2,90,16.6,0.0,853.6,100,8.2,49
2024-12-07T05:00,18.1,90,16.4,0.0,854.0,99,8.7,45
2024-12-07T06:00,18.0,90,16.4,0.0,854.1,100,8.9,43
2024-12-07T07:00,18.4,88,16.4,0.0,855.4,89,11.2,57
2024-12-07T08:00,19.2,85,16.6,0.0,856.0,94,12.8,52
2024-12-07T09:00,19.9,82,16.7,0.0,856.6,86,18.0,53
2024-12-07T10:00,20.8,78,16.9,0.0,856.3,89,19.5,52
2024-12-07T11:00,21.4,75,16.8,0.0,855.9,74,19.9,55
2024-12-07T12:00,21.8,73,16.7,0.0,855.6,68,19.8,53
2024-12-07T13:00,21.6,74,16.8,0.0,855.1,75,18.6,54
2024-12-07T14:00,21.4,75,16.8,0.0,854.3,100,18.0,53
2024-12-07T15:00,20.6,78,16.7,0.0,853.5,100,17.1,49
2024-12-07T16:00,19.7,82,16.5,0.0,853.3,100,15.0,42
2024-12-07T17:00,19.0,85,16.5,0.0,853.5,100,13.1,37
2024-12-07T18:00,18.4,88,16.4,0.0,853.8,100,11.9,35
2024-12-07T19:00,18.1,88,16.1,0.0,854.7,100,12.2,34
2024-12-07T20:00,17.9,88,15.9,0.0,855.0,100,12.6,31
2024-12-07T21:00,17.7,88,15.7,0.0,855.5,99,13.2,26
2024-12-07T22:00,17.2,89,15.4,0.0,855.0,89,13.4,24
2024-12-07T23:00,16.9,88,14.9,0.0,854.9,86,13.4,24
2024-12-08T00:00,16.8,88,14.8,0.0,854.0,82,12.9,23
2024-12-08T01:00,16.8,87,14.6,0.0,854.0,95,12.9,27
2024-12-08T02:00,16.8,88,14.8,0.0,853.4,86,13.6,22
2024-12-08T03:00,16.8,88,14.8,0.0,853.1,78,13.9,17
2024-12-08T04:00,16.6,88,14.6,0.0,853.0,94,14.7,17
2024-12-08T05:00,16.6,88,14.6,0.0,853.4,67,14.8,18
2024-12-08T06:00,16.5,88,14.5,0.0,854.0,97,15.6,19
