time,co,no2,o3,so2,pm2_5,pm10
2024-12-15T00:00,1651.43,41.96,-0.01,21.81,126.35,139.34
2024-12-15T01:00,1669.1,42.27,0.05,21.9,127.83,141.51
2024-12-15T02:00,1667.62,42.33,-0.14,21.63,126.83,140.87
2024-12-15T03:00,1574.17,40.91,1.46,21.17,117.92,131.06
2024-12-15T04:00,1424.02,38.82,4.15,20.92,102.65,113.38
2024-12-15T05:00,1339.5,37.22,6.66,21.01,95.33,103.76
2024-12-15T06:00,1338.37,37.03,7.0,21.63,95.15,103.04
2024-12-15T07:00,1378.04,37.15,6.54,21.94,99.26,107.03
2024-12-15T08:00,1378.04,36.86,7.39,22.41,97.91,104.59
2024-12-15T09:00,1334.03,35.56,10.0,22.43,91.11,95.42
2024-12-15T10:00,1254.41,33.82,14.64,22.35,82.91,85.23
2024-12-15T11:00,1182.74,32.55,18.93,21.97,75.81,77.01
2024-12-15T12:00,1119.56,31.8,22.22,21.59,70.72,71.78
2024-12-15T13:00,1130.9,31.41,28.91,22.0,74.69,77.11
2024-12-15T14:00,1128.15,31.47,34.55,22.65,75.54,78.89
2024-12-15T15:00,1039.21,30.97,37.48,22.72,67.42,69.98
2024-12-15T16:00,1068.88,32.88,31.98,22.84,71.43,74.28
2024-12-15T17:00,1166.34,35.35,25.02,23.05,80.27,85.25
2024-12-15T18:00,1381.4,39.05,16.44,23.08,98.56,104.89
2024-12-15T19:00,1587.52,42.22,15.6,24.53,119.45,128.09
2024-12-15T20:00,1679.68,43.99,13.51,24.98,128.43,138.24
2024-12-15T21:00,1688.33,44.17,13.25,24.48,131.2,142.03
2024-12-15T22:00,1798.02,44.27,9.5,22.46,143.1,155.17
2024-12-15T23:00,1783.44,42.99,8.85,20.17,143.37,156.3
2024-12-16T00:00,1990.71,42.95,5.61,17.69,163.38,178.07
2024-12-16T01:00,2119.15,42.31,3.46,16.57,174.37,190.61
2024-12-16T02:00,2117.86,41.96,3.33,16.35,175.03,191.63
2024-12-16T03:00,2083.93,41.95,4.74,16.51,174.61,190.67
2024-12-16T04:00,2115.23,41.95,3.98,16.38,177.15,193.46
2024-12-16T05:00,2123.98,41.52,3.93,16.36,177.72,193.92
2024-12-16T06:00,2161.51,41.58,4.14,16.57,179.96,195.73
2024-12-16T07:00,2200.67,41.78,4.04,16.51,183.75,198.91
2024-12-16T08:00,2239.64,41.72,5.49,17.17,188.4,203.64
2024-12-16T09:00,2139.43,40.56,10.45,19.13,181.28,195.92
2024-12-16T10:00,1880.22,38.21,18.88,21.78,157.8,170.54
2024-12-16T11:00,1420.4,32.58,33.78,23.75,113.29,122.22
2024-12-16T12:00,1098.87,26.0,51.81,23.49,82.37,88.24
2024-12-16T13:00,885.99,20.1,72.92,22.72,65.5,70.8
2024-12-16T14:00,794.02,17.11,88.97,22.51,61.65,68.41
2024-12-16T15:00,756.04,16.18,97.77,22.68,61.08,69.85
2024-12-16T16:00,806.77,17.56,98.69,23.19,66.95,77.39
2024-12-16T17:00,913.33,21.54,94.62,24.46,77.45,89.33
2024-12-16T18:00,1221.87,30.03,82.94,25.89,104.83,120.14
2024-12-16T19:00,1782.84,40.12,68.01,25.66,155.45,178.25
2024-12-16T20:00,2287.24,46.55,52.46,23.34,201.21,232.54
2024-12-16T21:00,2309.4,47.66,43.86,20.91,204.24,237.69
2024-12-16T22:00,2509.61,49.0,30.73,18.37,220.67,255.09
2024-12-16T23:00,2642.46,49.04,20.97,15.91,233.05,266.59
2024-12-17T00:00,2653.43,48.13,14.67,14.57,231.76,263.36
2024-12-17T01:00,2680.59,47.76,9.74,13.8,230.43,260.51
2024-12-17T02:00,2744.15,47.43,6.04,13.39,234.1,263.44
2024-12-17T03:00,2718.76,46.0,4.52,13.24,232.45,260.15
2024-12-17T04:00,2644.92,44.32,5.35,13.1,228.24,254.74
2024-12-17T05:00,2566.13,42.81,7.23,12.64,222.63,248.45
2024-12-17T06:00,2509.45,42.14,6.94,12.45,216.24,241.47
2024-12-17T07:00,2490.98,42.37,4.82,12.91,212.15,236.81
2024-12-17T08:00,2546.5,43.16,5.25,14.53,217.1,242.58
2024-12-17T09:00,2528.45,43.29,14.02,19.26,217.54,243.81
2024-12-17T10:00,2193.68,40.59,35.6,25.19,192.68,219.11
2024-12-17T11:00,1373.9,29.4,79.39,28.27,129.51,152.19
2024-12-17T12:00,921.61,18.36,119.05,25.97,101.36,119.71
2024-12-17T13:00,703.24,12.03,135.69,23.2,88.59,102.35
2024-12-17T14:00,611.84,9.4,142.19,21.2,86.81,98.92
2024-12-17T15:00,578.83,8.71,144.59,19.93,88.47,101.04
2024-12-17T16:00,600.74,9.55,145.53,19.61,91.84,106.11
2024-12-17T17:00,672.91,12.99,138.5,20.14,94.29,110.73
2024-12-17T18:00,872.87,20.88,119.12,21.24,105.28,125.54
2024-12-17T19:00,1262.12,32.23,87.52,22.33,132.54,158.75
2024-12-17T20:00,1737.55,40.02,60.31,20.75,164.65,198.88
