time,co,no2,o3,so2,pm2_5,pm10
2024-12-15T03:00,503.91,7.51,54.16,5.13,42.38,48.76
2024-12-15T04:00,542.6,6.58,56.32,3.66,47.99,54.76
2024-12-15T05:00,597.82,8.64,64.49,5.13,43.67,49.71
2024-12-15T06:00,749.9,13.65,57.02,9.41,61.96,70.85
2024-12-15T07:00,1067.63,19.53,46.97,10.54,85.23,99.23
2024-12-15T08:00,955.42,20.47,47.9,11.69,75.75,88.19
2024-12-15T09:00,940.61,22.85,38.56,12.96,65.22,77.57
2024-12-15T10:00,831.62,22.57,37.41,11.73,62.99,72.17
2024-12-15T11:00,805.15,17.21,43.03,7.8,69.13,78.98
2024-12-15T12:00,793.92,18.29,51.31,9.8,74.66,86.49
2024-12-15T13:00,576.69,14.69,41.71,7.5,56.68,64.67
2024-12-15T14:00,693.59,16.1,40.81,7.88,67.29,77.01
2024-12-15T15:00,686.77,14.13,35.95,7.12,60.26,68.94
2024-12-15T16:00,663.35,11.2,39.7,4.68,48.81,54.05
2024-12-15T17:00,720.9,11.43,40.66,4.99,52.24,57.51
2024-12-15T18:00,765.7,11.79,38.35,5.33,61.16,68.62
2024-12-15T19:00,689.95,10.37,48.1,4.87,54.91,62.44
2024-12-15T20:00,592.67,9.18,48.71,4.53,54.16,62.04
2024-12-15T21:00,570.7,7.95,58.87,4.35,58.35,66.51
2024-12-15T22:00,502.76,5.57,61.11,3.33,50.57,57.79
2024-12-15T23:00,492.04,6.76,63.4,4.43,50.91,58.26
2024-12-16T00:00,555.28,9.22,61.55,5.99,54.82,62.62
2024-12-16T01:00,643.85,9.97,61.29,6.25,68.77,78.85
2024-12-16T02:00,589.71,10.81,57.52,6.49,59.91,68.33
2024-12-16T03:00,540.14,9.33,59.03,5.82,54.24,61.36
2024-12-16T04:00,701.81,14.93,40.65,8.11,56.23,62.82
2024-12-16T05:00,727.5,17.56,37.05,10.95,55.78,61.98
2024-12-16T06:00,757.59,16.35,46.26,10.71,67.24,75.07
2024-12-16T07:00,596.08,11.61,55.58,8.54,50.45,55.98
2024-12-16T08:00,613.45,12.38,53.47,8.81,46.78,51.4
2024-12-16T09:00,617.2,11.58,60.56,8.86,50.91,55.97
2024-12-16T10:00,574.95,10.69,58.58,8.84,47.74,52.61
2024-12-16T11:00,664.72,13.71,48.18,10.2,55.01,61.15
2024-12-16T12:00,728.03,15.71,44.16,10.76,59.2,66.45
2024-12-16T13:00,778.5,16.23,55.27,11.72,62.81,70.59
2024-12-16T14:00,505.5,8.29,70.1,6.36,50.38,57.13
2024-12-16T15:00,564.63,9.99,58.06,7.42,53.5,60.27
2024-12-16T16:00,636.96,12.54,47.75,8.08,44.38,49.6
2024-12-16T17:00,647.79,13.68,40.33,8.19,45.51,50.47
2024-12-16T18:00,632.8,14.99,39.48,9.37,43.86,48.67
2024-12-16T19:00,752.09,19.3,29.54,11.33,46.24,51.44
2024-12-16T20:00,740.83,18.49,32.67,11.01,45.12,50.0
2024-12-16T21:00,663.72,15.79,40.5,10.7,41.4,45.63
2024-12-16T22:00,731.69,17.53,43.62,11.28,66.86,74.22
2024-12-16T23:00,794.27,19.63,33.03,11.45,69.33,77.28
2024-12-17T00:00,891.41,22.68,28.6,13.02,78.1,87.09
2024-12-17T01:00,949.61,23.72,29.83,13.77,82.23,91.47
2024-12-17T02:00,828.54,21.59,30.62,12.72,73.3,81.4
2024-12-17T03:00,779.5,20.5,31.57,11.64,68.83,76.63
2024-12-17T04:00,871.5,22.81,26.08,12.8,76.08,85.16
2024-12-17T05:00,921.16,23.98,26.58,13.91,80.25,89.49
2024-12-17T06:00,989.26,24.72,32.0,14.05,92.89,104.05
2024-12-17T07:00,1123.27,28.24,34.84,15.12,106.29,120.7
2024-12-17T08:00,823.68,18.14,55.66,9.78,91.58,104.18
2024-12-17T09:00,590.32,8.07,58.29,4.85,66.45,76.72
2024-12-17T10:00,386.54,3.52,74.75,4.73,54.57,61.17
2024-12-17T11:00,464.48,3.8,82.32,4.06,57.69,64.75
2024-12-17T12:00,545.54,6.75,79.7,5.65,53.24,61.43
2024-12-17T13:00,420.46,4.07,76.8,2.61,32.69,39.47
2024-12-17T14:00,414.91,4.64,73.77,2.88,30.74,37.99
2024-12-17T15:00,491.83,7.13,63.96,3.92,30.5,37.77
2024-12-17T16:00,517.86,7.67,70.86,4.58,37.27,45.38
2024-12-17T17:00,681.7,13.35,63.78,7.93,49.82,60.97
2024-12-17T18:00,645.9,13.09,51.44,6.34,43.65,53.72
2024-12-17T19:00,844.9,14.31,41.63,5.06,57.0,68.84
2024-12-17T20:00,607.11,9.09,46.71,2.5,42.7,51.04
2024-12-17T21:00,718.85,11.81,40.21,3.74,52.13,61.22
2024-12-17T22:00,778.94,11.33,38.15,3.53,50.13,60.11
2024-12-17T23:00,656.66,9.02,33.2,2.1,49.38,57.07
2024-12-18T00:00,669.15,8.71,28.96,1.65,49.25,56.99
2024-12-18T01:00,726.53,12.35,25.47,3.12,50.43,60.42
2024-12-18T02:00,984.71,16.45,21.8,5.11,71.47,83.99
2024-12-18T03:00,1057.23,16.91,21.31,4.76,78.64,91.05
2024-12-18T04:00,853.23,13.47,24.48,3.74,70.27,81.44
2024-12-18T05:00,846.39,13.81,22.86,4.5,67.22,77.99
2024-12-18T06:00,909.0,15.3,23.47,4.92,71.94,83.97
2024-12-18T07:00,1008.62,19.01,23.81,6.95,83.25,96.66
2024-12-18T08:00,1139.91,22.25,28.38,8.64,95.64,110.93
2024-12-18T09:00,795.72,16.7,36.36,9.2,62.44,72.55
2024-12-18T10:00,639.34,10.51,64.78,4.75,53.18,64.6
2024-12-18T11:00,484.17,7.28,71.36,3.86,37.17,46.58
2024-12-18T12:00,381.39,2.58,74.74,0.57,24.18,31.31
2024-12-18T13:00,443.11,4.88,73.0,2.15,28.95,36.91
2024-12-18T14:00,398.34,4.08,73.79,1.84,24.97,32.36
2024-12-18T15:00,495.14,6.98,64.52,3.22,29.05,36.82
2024-12-18T16:00,572.44,9.47,60.85,4.31,35.1,43.7
2024-12-18T17:00,1129.55,23.55,49.25,12.61,74.01,90.41
2024-12-18T18:00,1021.15,20.39,43.57,10.67,66.46,80.19
2024-12-18T19:00,706.9,11.64,38.32,3.28,49.03,57.26
2024-12-18T20:00,608.83,9.88,49.01,5.68,52.12,60.39
2024-12-18T21:00,711.26,12.67,37.48,6.0,57.22,67.19
2024-12-18T22:00,708.86,12.67,38.67,6.09,64.12,73.7
2024-12-18T23:00,625.49,9.13,37.64,2.38,47.44,54.9
2024-12-19T00:00,600.99,7.46,36.03,1.25,48.06,55.39
2024-12-19T01:00,610.65,7.25,37.73,0.9,47.18,55.18
2024-12-19T02:00,701.16,9.81,37.73,2.18,54.12,62.75
2024-12-19T03:00,713.56,10.86,35.74,2.66,55.25,63.46
2024-12-19T04:00,684.3,10.26,34.3,2.49,53.24,61.18
2024-12-19T05:00,649.2,9.34,38.38,2.14,52.7,60.28
2024-12-19T06:00,602.45,9.61,34.95,2.53,48.8,55.45
2024-12-19T07:00,690.03,11.52,43.78,4.67,60.75,69.3
2024-12-19T08:00,835.89,15.0,54.21,8.35,77.55,89.41
2024-12-19T09:00,625.59,10.8,58.34,7.56,56.41,65.36
2024-12-19T10:00,715.48,13.34,59.1,9.14,60.85,71.14
2024-12-19T11:00,686.13,14.18,61.06,10.98,60.79,70.67
2024-12-19T12:00,651.76,9.87,76.76,8.11,60.97,71.41
2024-12-19T13:00,555.1,8.85,71.73,7.37,53.42,62.3
2024-12-19T14:00,706.48,13.92,58.74,9.7,62.21,72.65
2024-12-19T15:00,678.28,14.81,57.97,10.95,62.14,73.03
2024-12-19T16:00,666.74,15.05,57.39,10.78,57.69,68.18
2024-12-19T17:00,656.22,15.14,68.46,11.19,61.97,72.69
2024-12-19T18:00,843.08,19.9,58.04,13.25,75.85,88.95
2024-12-19T19:00,898.07,17.93,58.32,9.93,69.05,81.93
2024-12-19T20:00,878.07,16.55,55.36,8.41,63.01,75.95
2024-12-19T21:00,941.43,16.02,40.29,5.5,75.51,88.69
2024-12-19T22:00,810.82,10.59,43.99,2.05,68.82,80.2
2024-12-19T23:00,803.7,11.44,40.46,3.35,67.91,78.93
2024-12-20T00:00,771.46,11.7,40.09,3.51,63.26,73.91
2024-12-20T01:00,644.86,8.16,35.61,0.55,47.79,54.56
2024-12-20T02:00,672.95,8.66,39.39,1.55,50.81,58.35
2024-12-20T03:00,808.91,11.17,43.59,4.02,67.78,77.91
2024-12-20T04:00,1360.55,20.88,39.79,7.36,115.28,132.87
2024-12-20T05:00,1533.63,25.6,32.08,9.03,128.76,146.68
2024-12-20T06:00,875.07,14.51,50.36,5.93,79.36,91.1
2024-12-20T07:00,892.47,21.16,34.68,10.83,88.54,101.44
2024-12-20T08:00,817.89,18.24,36.95,9.29,81.07,92.54
2024-12-20T09:00,733.0,14.24,38.68,7.12,68.47,77.53
2024-12-20T10:00,665.71,12.03,37.81,6.19,57.3,64.26
2024-12-20T11:00,989.59,19.99,26.48,10.4,77.95,88.36
2024-12-20T12:00,909.13,18.18,25.79,10.14,73.49,82.59
2024-12-20T13:00,1015.4,24.52,24.26,16.58,87.05,98.66
2024-12-20T14:00,688.37,14.3,34.99,9.95,64.58,71.19
2024-12-20T15:00,500.3,8.43,41.82,5.16,51.55,57.37
2024-12-20T16:00,556.9,10.02,49.77,7.32,60.3,67.78
2024-12-20T17:00,806.58,16.02,44.22,8.95,71.73,82.63
2024-12-20T18:00,1357.92,30.6,33.1,15.37,98.12,114.14
2024-12-20T19:00,1482.67,28.76,34.18,12.38,118.68,137.68
2024-12-20T20:00,1414.26,20.25,31.75,4.39,116.02,133.39
2024-12-20T21:00,970.14,14.7,34.59,4.37,84.95,98.55
2024-12-20T22:00,727.45,12.3,39.53,3.85,64.54,75.42
2024-12-20T23:00,720.4,10.86,36.83,2.19,64.51,74.23
2024-12-21T00:00,992.52,16.66,31.05,4.73,88.74,102.39
2024-12-21T01:00,1089.39,19.54,30.97,6.24,97.71,111.45
2024-12-21T02:00,1134.76,19.64,30.96,6.63,107.09,121.91
2024-12-21T03:00,1182.74,19.02,30.81,6.33,117.87,134.81
2024-12-21T04:00,1183.57,18.34,32.53,6.06,120.34,137.91
2024-12-21T05:00,1141.64,17.68,31.83,5.42,116.52,133.3
2024-12-21T06:00,1030.1,16.83,31.11,4.63,105.64,120.62
2024-12-21T07:00,894.52,15.44,32.83,4.47,92.41,105.76
2024-12-21T08:00,1070.54,15.01,26.94,4.44,112.08,128.02
2024-12-21T09:00,823.43,13.71,34.51,6.2,88.75,100.6
2024-12-21T10:00,815.6,16.98,47.76,11.28,88.34,100.36
2024-12-21T11:00,770.14,12.96,62.97,9.73,84.58,96.28
2024-12-21T12:00,532.45,8.63,73.4,8.42,55.13,65.68
2024-12-21T13:00,421.64,3.68,81.34,5.26,41.76,50.15
2024-12-21T14:00,472.99,4.63,81.59,4.52,45.87,54.18
2024-12-21T15:00,577.03,9.23,72.95,6.32,44.23,52.98
2024-12-21T16:00,589.04,13.02,50.58,6.69,40.17,49.1
2024-12-21T17:00,1046.36,21.87,38.76,11.01,70.44,84.97
2024-12-21T18:00,1083.71,21.18,36.11,10.42,74.69,89.35
2024-12-21T19:00,839.54,14.94,42.31,7.12,69.85,80.24
2024-12-21T20:00,675.42,9.83,42.27,3.24,49.88,57.91
2024-12-21T21:00,614.91,9.15,39.14,2.42,41.86,49.19
2024-12-21T22:00,528.2,7.62,41.49,1.61,38.7,45.01
2024-12-21T23:00,464.93,7.67,44.08,2.76,40.62,46.57
2024-12-22T00:00,855.23,15.48,44.75,6.6,72.11,83.43
2024-12-22T01:00,837.06,14.51,40.98,6.12,59.97,71.48
2024-12-22T02:00,906.06,14.69,36.65,4.26,64.94,76.16
2024-12-22T03:00,856.4,14.66,32.41,4.6,67.58,77.68
2024-12-22T04:00,748.78,11.8,32.27,3.04,60.98,69.89
2024-12-22T05:00,669.03,9.13,35.89,2.18,55.94,64.07
2024-12-22T06:00,704.76,8.74,37.58,1.57,56.03,64.71
2024-12-22T07:00,788.75,10.01,43.0,2.48,66.93,77.5
2024-12-22T08:00,990.15,11.02,50.88,3.37,95.71,109.64
2024-12-22T09:00,664.41,9.26,56.67,3.9,62.63,72.59
2024-12-22T10:00,618.9,8.7,65.46,4.73,59.77,68.97
2024-12-22T11:00,628.52,8.42,72.05,5.34,61.08,70.05
2024-12-22T12:00,671.27,11.2,65.7,7.51,63.02,72.02
2024-12-22T13:00,687.98,13.93,48.09,8.48,62.9,71.51
2024-12-22T14:00,682.97,15.66,42.16,9.49,61.35,69.15
2024-12-22T15:00,691.09,15.4,40.26,8.8,61.05,68.93
2024-12-22T16:00,670.96,14.28,40.67,7.72,59.77,67.37
2024-12-22T17:00,698.33,13.22,40.89,6.35,62.76,71.28
2024-12-22T18:00,635.88,9.91,42.98,4.16,54.38,62.1
2024-12-22T19:00,717.93,10.4,40.65,2.68,60.52,69.65
2024-12-22T20:00,541.59,4.56,50.05,0.28,47.53,54.22
2024-12-22T21:00,625.47,5.32,47.34,0.38,53.81,61.31
2024-12-22T22:00,610.48,4.28,53.21,0.17,53.86,61.84
2024-12-22T23:00,543.83,3.88,61.54,1.21,47.14,54.05
