time,co,no2,o3,so2,pm2_5,pm10
2024-12-15T03:00,377.7,4.7,74.24,4.37,24.32,27.96
2024-12-15T04:00,344.83,2.68,75.74,3.06,21.29,25.17
2024-12-15T05:00,347.93,2.49,76.54,3.15,21.96,25.91
2024-12-15T06:00,367.7,3.36,70.97,3.52,22.23,26.12
2024-12-15T07:00,341.25,2.57,77.54,2.82,21.56,25.85
2024-12-15T08:00,339.26,2.8,75.55,2.85,20.43,24.76
2024-12-15T09:00,345.64,2.55,75.79,2.71,21.26,25.43
2024-12-15T10:00,352.45,2.6,76.94,3.14,22.84,26.47
2024-12-15T11:00,367.3,2.98,78.51,3.47,24.63,28.06
2024-12-15T12:00,353.48,2.87,75.89,2.72,20.45,24.05
2024-12-15T13:00,382.08,4.35,66.94,3.48,21.86,25.18
2024-12-15T14:00,428.41,7.53,59.75,5.63,24.17,26.9
2024-12-15T15:00,434.11,8.08,54.57,5.79,23.29,25.54
2024-12-15T16:00,445.47,8.4,55.12,6.56,24.99,27.53
2024-12-15T17:00,446.6,7.65,60.37,5.55,25.07,28.3
2024-12-15T18:00,422.58,5.86,62.58,3.95,21.99,25.57
2024-12-15T19:00,437.16,6.94,58.1,4.03,21.02,24.67
2024-12-15T20:00,451.31,7.63,58.11,3.89,21.97,26.02
2024-12-15T21:00,412.9,5.33,73.79,4.05,27.93,33.23
2024-12-15T22:00,420.52,5.03,78.1,4.65,34.92,39.87
2024-12-15T23:00,415.62,4.81,78.47,4.23,32.48,37.44
2024-12-16T00:00,404.34,4.31,80.0,3.93,30.74,35.96
2024-12-16T01:00,397.48,4.26,79.71,3.54,28.15,33.52
2024-12-16T02:00,404.47,4.3,78.49,3.51,28.88,34.18
2024-12-16T03:00,437.8,3.51,85.92,5.53,34.48,42.61
2024-12-16T04:00,432.87,3.07,87.56,5.12,35.52,43.55
2024-12-16T05:00,435.16,3.16,86.66,4.91,34.57,42.55
2024-12-16T06:00,448.07,3.64,78.8,5.65,31.93,38.34
2024-12-16T07:00,427.37,3.36,83.31,5.18,31.22,36.34
2024-12-16T08:00,405.19,2.94,88.12,4.56,31.0,37.61
2024-12-16T09:00,401.82,3.02,87.21,4.97,30.59,37.47
2024-12-16T10:00,410.38,2.95,87.65,4.08,28.97,35.68
2024-12-16T11:00,438.27,6.14,82.02,4.08,27.57,32.82
2024-12-16T12:00,410.67,4.61,86.17,4.47,29.9,36.07
2024-12-16T13:00,448.27,6.28,82.37,6.52,37.77,44.85
2024-12-16T14:00,414.73,4.38,84.24,4.62,34.84,41.63
2024-12-16T15:00,383.68,3.6,84.21,3.14,24.47,30.37
2024-12-16T16:00,389.72,2.5,92.16,3.48,30.73,37.65
2024-12-16T17:00,423.61,4.5,94.42,4.67,37.75,46.21
2024-12-16T18:00,415.7,3.25,91.0,4.6,34.68,42.38
2024-12-16T19:00,414.91,3.75,92.9,4.78,36.69,45.35
2024-12-16T20:00,415.79,3.04,93.33,4.29,36.82,46.89
2024-12-16T21:00,384.09,2.92,90.99,3.87,29.95,38.34
2024-12-16T22:00,406.71,2.95,95.64,4.92,35.13,46.04
2024-12-16T23:00,423.23,3.01,95.36,5.04,38.4,50.12
2024-12-17T00:00,406.52,3.02,92.36,4.53,34.35,45.47
2024-12-17T01:00,427.72,3.02,91.4,4.89,37.78,48.6
2024-12-17T02:00,429.55,3.06,91.15,5.18,39.74,50.27
2024-12-17T03:00,434.65,3.22,88.86,4.72,38.52,48.02
2024-12-17T04:00,442.37,3.35,85.67,4.7,38.25,47.5
2024-12-17T05:00,443.11,3.37,86.07,4.49,37.11,46.09
2024-12-17T06:00,451.35,3.41,85.06,4.54,37.78,46.49
2024-12-17T07:00,429.05,4.11,81.64,3.62,28.85,36.11
2024-12-17T08:00,413.76,3.92,82.53,3.36,26.03,33.44
2024-12-17T09:00,407.94,3.63,81.37,3.38,25.47,32.24
2024-12-17T10:00,400.76,3.58,84.0,2.94,24.99,32.23
2024-12-17T11:00,404.59,3.16,87.26,3.49,27.78,34.7
2024-12-17T12:00,389.99,2.5,93.32,4.16,36.1,44.83
2024-12-17T13:00,371.74,2.19,98.68,3.23,29.83,37.81
2024-12-17T14:00,370.86,2.2,99.24,3.4,30.97,38.77
2024-12-17T15:00,361.86,2.22,94.88,3.5,28.22,36.18
2024-12-17T16:00,359.28,2.27,93.29,3.23,26.92,34.23
2024-12-17T17:00,390.31,3.01,97.55,4.68,39.03,49.0
2024-12-17T18:00,374.56,3.05,91.88,3.72,30.85,39.16
2024-12-17T19:00,365.44,2.84,92.08,3.31,30.11,40.01
2024-12-17T20:00,378.39,3.11,87.64,3.1,26.03,34.0
2024-12-17T21:00,374.02,3.44,86.2,2.77,23.21,31.7
2024-12-17T22:00,432.27,4.33,82.99,3.26,29.21,37.6
2024-12-17T23:00,408.39,3.62,83.99,3.28,32.04,43.46
2024-12-18T00:00,420.17,3.99,80.01,3.14,30.77,41.39
2024-12-18T01:00,430.87,4.08,78.6,3.26,30.09,40.03
2024-12-18T02:00,433.31,4.32,79.3,3.33,30.09,41.18
2024-12-18T03:00,435.11,4.59,78.62,3.18,29.92,41.02
2024-12-18T04:00,431.3,3.91,82.96,3.58,33.21,42.29
2024-12-18T05:00,438.13,3.82,82.8,3.85,35.58,44.44
2024-12-18T06:00,421.13,3.61,83.88,3.7,34.55,42.07
2024-12-18T07:00,416.93,3.76,86.87,3.27,31.15,39.36
2024-12-18T08:00,413.48,3.95,80.92,3.05,24.68,32.05
2024-12-18T09:00,406.33,4.09,81.2,3.24,25.93,33.01
2024-12-18T10:00,391.43,3.61,83.77,3.49,25.08,32.49
2024-12-18T11:00,413.52,3.86,92.57,5.35,41.79,52.01
2024-12-18T12:00,367.34,2.37,86.63,3.13,28.08,34.71
2024-12-18T13:00,360.62,2.21,87.73,3.11,27.67,35.21
2024-12-18T14:00,398.65,4.55,82.76,3.48,25.82,32.27
2024-12-18T15:00,421.24,3.75,85.28,5.9,40.21,47.3
2024-12-18T16:00,434.56,3.5,92.1,7.41,51.14,60.69
2024-12-18T17:00,441.33,3.31,93.13,7.74,53.4,63.41
2024-12-18T18:00,449.66,3.47,95.68,7.89,57.8,66.61
2024-12-18T19:00,424.3,3.83,91.49,6.29,45.82,53.54
2024-12-18T20:00,431.24,3.74,92.67,5.88,44.99,53.6
2024-12-18T21:00,401.57,3.53,92.17,4.73,38.53,46.64
2024-12-18T22:00,402.52,4.15,87.97,4.39,35.08,42.82
2024-12-18T23:00,382.6,3.33,85.76,3.39,29.0,35.71
2024-12-19T00:00,369.17,2.89,84.95,3.24,26.79,34.09
2024-12-19T01:00,355.24,3.02,81.98,3.12,22.88,29.94
2024-12-19T02:00,382.22,3.63,85.48,3.68,30.51,37.91
2024-12-19T03:00,400.04,3.42,87.6,5.1,36.78,44.37
2024-12-19T04:00,382.93,3.81,80.08,3.24,25.14,31.03
2024-12-19T05:00,367.46,2.61,83.15,3.37,27.64,33.41
2024-12-19T06:00,352.56,2.52,85.29,2.86,26.1,33.01
2024-12-19T07:00,364.71,2.97,80.05,2.63,22.58,28.35
2024-12-19T08:00,361.66,3.07,82.07,2.73,22.04,27.82
2024-12-19T09:00,371.62,3.62,81.71,2.69,19.5,25.02
2024-12-19T10:00,354.91,2.38,83.9,2.64,20.86,26.25
2024-12-19T11:00,344.63,2.28,84.2,2.24,19.0,24.75
2024-12-19T12:00,352.58,2.29,85.57,2.44,20.26,25.9
2024-12-19T13:00,345.8,2.51,83.54,2.07,17.98,23.45
2024-12-19T14:00,341.75,2.33,83.87,2.18,18.34,23.63
2024-12-19T15:00,343.71,2.31,84.81,2.2,18.85,24.37
2024-12-19T16:00,359.52,2.48,86.53,2.96,23.04,28.83
2024-12-19T17:00,380.58,2.81,91.67,4.35,33.63,41.11
2024-12-19T18:00,407.88,3.73,92.65,4.87,37.41,45.35
2024-12-19T19:00,423.94,3.61,95.99,5.16,40.44,49.15
