time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m
2024-12-15T00:00,14.0,67,7.9,0.0,1025.3,100,4.1,345
2024-12-15T01:00,14.2,67,8.1,0.1,1025.4,100,5.0,339
2024-12-15T02:00,13.6,73,8.8,0.8,1024.8,100,5.8,330
2024-12-15T03:00,13.2,77,9.3,1.1,1024.8,100,5.0,330
2024-12-15T04:00,13.3,76,9.2,0.4,1024.7,100,3.2,333
2024-12-15T05:00,13.7,72,8.8,0.0,1025.2,100,3.9,338
2024-12-15T06:00,13.9,67,7.9,0.0,1025.5,100,6.2,350
2024-12-15T07:00,13.5,69,7.9,0.0,1026.2,100,7.2,342
2024-12-15T08:00,13.4,68,7.6,0.0,1026.8,100,7.6,341
2024-12-15T09:00,13.3,65,6.8,0.0,1027.6,100,8.6,338
2024-12-15T10:00,13.3,61,6.0,0.0,1027.8,100,11.7,342
2024-12-15T11:00,12.7,63,5.8,0.0,1027.3,100,13.0,341
2024-12-15T12:00,12.2,65,5.8,0.0,1026.6,100,11.8,340
2024-12-15T13:00,15.0,42,2.2,0.0,1024.8,100,10.2,350
2024-12-15T14:00,14.3,45,2.5,0.0,1024.2,100,9.7,338
2024-12-15T15:00,13.2,56,4.6,0.2,1023.9,100,11.8,329
2024-12-15T16:00,11.5,74,7.0,1.2,1024.1,100,8.7,322
2024-12-15T17:00,11.6,72,6.7,0.2,1024.0,100,5.1,321
2024-12-15T18:00,11.6,73,7.0,0.6,1024.6,100,4.9,306
2024-12-15T19:00,13.5,63,6.6,1.7,1024.3,100,4.9,324
2024-12-15T20:00,13.0,68,7.2,0.3,1025.0,97,3.1,324
2024-12-15T21:00,13.3,67,7.3,0.0,1024.7,95,1.8,349
2024-12-15T22:00,13.3,67,7.3,0.0,1024.5,100,1.8,323
2024-12-15T23:00,13.2,68,7.4,0.0,1024.3,99,2.2,351
2024-12-16T00:00,13.3,66,7.1,0.0,1024.0,100,2.1,329
2024-12-16T01:00,13.8,67,7.8,0.0,1024.2,97,1.6,333
2024-12-16T02:00,13.7,66,7.4,0.0,1023.7,99,3.4,342
2024-12-16T03:00,13.0,72,8.0,0.3,1023.5,97,6.3,329
2024-12-16T04:00,12.9,72,8.0,0.0,1023.1,91,2.8,320
2024-12-16T05:00,12.9,72,8.0,0.0,1022.8,97,2.1,301
2024-12-16T06:00,13.0,72,8.0,0.0,1023.5,99,2.7,293
2024-12-16T07:00,13.8,72,8.9,0.0,1024.8,100,2.3,321
2024-12-16T08:00,14.4,71,9.2,0.0,1025.2,100,2.6,326
2024-12-16T09:00,15.0,70,9.6,0.0,1025.7,98,3.1,324
2024-12-16T10:00,15.9,68,10.0,0.0,1025.3,97,4.7,328
2024-12-16T11:00,17.2,61,9.6,0.0,1024.2,90,7.0,339
2024-12-16T12:00,18.9,49,7.9,0.0,1022.8,79,7.4,346
2024-12-16T13:00,20.0,42,6.7,0.0,1021.9,66,6.0,343
2024-12-16T14:00,20.5,39,6.0,0.0,1020.4,72,5.0,339
2024-12-16T15:00,20.6,40,6.5,0.0,1019.5,60,4.7,337
2024-12-16T16:00,20.2,41,6.6,0.0,1018.8,43,4.1,345
2024-12-16T17:00,19.3,45,7.1,0.0,1018.7,29,1.9,338
2024-12-16T18:00,18.2,50,7.6,0.0,1019.1,29,1.0,225
2024-12-16T19:00,17.3,51,7.1,0.0,1020.0,43,1.1,180
2024-12-16T20:00,16.7,52,6.8,0.0,1020.4,42,1.1,198
2024-12-16T21:00,16.0,54,6.7,0.0,1020.5,45,1.0,225
2024-12-16T22:00,15.4,56,6.7,0.0,1020.2,59,1.3,236
2024-12-16T23:00,14.8,57,6.4,0.0,1019.8,69,1.1,252
2024-12-17T00:00,14.2,60,6.6,0.0,1019.6,63,1.6,297
2024-12-17T01:00,13.7,62,6.6,0.0,1019.2,54,1.4,270
2024-12-17T02:00,13.4,63,6.5,0.0,1018.4,90,1.8,281
2024-12-17T03:00,13.4,64,6.8,0.0,1018.0,87,1.5,284
2024-12-17T04:00,13.3,65,6.9,0.0,1018.1,77,1.1,270
2024-12-17T05:00,13.0,67,7.0,0.0,1018.7,78,1.6,297
2024-12-17T06:00,12.8,68,7.0,0.0,1019.0,72,1.8,307
2024-12-17T07:00,12.9,67,6.9,0.0,1019.3,63,1.8,307
2024-12-17T08:00,14.3,68,8.5,0.0,1020.0,42,1.8,307
2024-12-17T09:00,17.4,56,8.6,0.0,1020.8,29,3.1,324
2024-12-17T10:00,19.9,48,8.6,0.0,1020.4,12,3.5,336
2024-12-17T11:00,21.7,45,9.2,0.0,1019.5,4,2.6,16
2024-12-17T12:00,22.8,44,9.9,0.0,1018.1,21,3.4,72
2024-12-17T13:00,23.5,43,10.2,0.0,1016.6,52,4.0,80
2024-12-17T14:00,23.8,44,10.8,0.0,1015.4,35,4.7,86
2024-12-17T15:00,23.7,47,11.7,0.0,1015.0,34,5.1,86
2024-12-17T16:00,23.3,49,12.0,0.0,1015.4,43,5.0,90
2024-12-17T17:00,22.3,53,12.3,0.0,1016.1,70,5.6,105
2024-12-17T18:00,20.4,62,12.9,0.0,1017.0,63,7.7,118
2024-12-17T19:00,19.0,68,12.9,0.0,1018.1,52,6.3,114
2024-12-17T20:00,18.1,72,13.0,0.0,1018.9,32,3.5,114
2024-12-17T21:00,17.3,78,13.4,0.0,1019.5,43,1.4,90
2024-12-17T22:00,17.0,78,13.1,0.0,1019.9,88,1.6,333
2024-12-17T23:00,16.8,79,13.2,0.0,1019.9,94,2.3,321
2024-12-18T00:00,16.7,78,12.9,0.0,1020.4,87,2.5,315
2024-12-18T01:00,16.5,79,12.8,0.0,1020.2,88,3.1,315
2024-12-18T02:00,16.3,79,12.7,0.0,1019.9,84,3.3,311
2024-12-18T03:00,16.2,78,12.4,0.0,1019.5,82,3.1,315
2024-12-18T04:00,16.2,77,12.1,0.0,1019.5,80,2.8,320
2024-12-18T05:00,16.1,76,11.9,0.0,1019.8,76,2.8,320
2024-12-18T06:00,16.1,74,11.5,0.0,1020.1,84,3.1,324
2024-12-18T07:00,16.5,70,11.0,0.0,1020.7,82,3.4,328
2024-12-18T08:00,17.4,68,11.4,0.0,1021.3,80,4.5,331
2024-12-18T09:00,19.1,60,11.1,0.0,1022.1,79,7.2,342
2024-12-18T10:00,20.7,47,9.0,0.0,1021.6,78,10.3,348
2024-12-18T11:00,21.8,42,8.3,0.0,1020.6,76,10.2,352
2024-12-18T12:00,22.8,40,8.5,0.0,1019.1,76,8.7,355
2024-12-18T13:00,23.5,39,8.8,0.0,1017.8,75,6.9,9
